city,temp_max,humidity,wind_speed,cloudiness,country,date,longitude,latitude
Emba,-8.7,82,2.27,0,KZ,1608043532,58.14,48.83
Port Blair,27.2,84,4.6,100,IN,1608043389,92.75,11.67
Atuona,25.81,77,9.11,7,PF,1608043534,-139.03,-9.8
Bluff,13.89,85,1.79,68,NZ,1608043535,168.33,-46.6
Kathu,30.0,94,0.5,20,TH,1608043536,98.33,7.92
Karasjok,-1.0,80,3.1,75,NO,1608043537,25.51,69.47
Pisco,21.0,83,2.1,90,PE,1608043481,-76.22,-13.7
Tapes,26.57,57,2.31,0,BR,1608043539,-51.4,-30.67
Butaritari,27.61,79,7.27,98,KI,1608043540,172.79,3.07
Albany,-1.11,38,0.89,4,US,1608043542,-73.97,42.6
São Filipe,23.2,76,4.48,19,CV,1608043543,-24.5,14.9
Touros,31.0,62,6.2,40,BR,1608043544,-35.46,-5.2
Portland,7.22,75,3.6,90,US,1608043487,-122.68,45.52
Naze,14.0,76,7.2,75,JP,1608043546,129.48,28.37
Ushuaia,4.0,86,3.6,90,AR,1608043326,-68.3,-54.8
Punta Arenas,8.0,65,17.0,75,CL,1608043548,-70.92,-53.15
Kazachinskoye,-9.59,95,4.34,100,RU,1608043549,93.28,57.7
Rikitea,24.63,73,2.91,13,PF,1608043551,-134.97,-23.12
Coquimbo,14.0,87,2.6,90,CL,1608043511,-71.34,-29.95
Comodoro Rivadavia,18.0,36,6.2,0,AR,1608043479,-67.5,-45.87
Husavik,4.0,91,4.6,90,IS,1608043554,-17.34,66.04
Hithadhoo,27.85,68,3.87,0,MV,1608043555,73.08,-0.6
Ponta do Sol,19.0,52,1.5,75,PT,1608043556,-17.1,32.67
Mar del Plata,18.0,34,7.7,20,AR,1608043557,-57.56,-38.0
Hamilton,-1.11,73,3.6,75,US,1608043275,-84.53,39.18
Westport,2.22,64,3.1,1,US,1608043437,-73.36,41.14
Upernavik,-14.68,86,4.67,0,GL,1608043560,-56.15,72.79
Ikorodu,30.0,74,4.1,75,NG,1608043561,3.5,6.62
Juli,11.58,44,1.98,100,PE,1608043563,-69.45,-16.22
Nagyvenyim,2.78,93,3.1,90,HU,1608043564,18.86,46.96
George Town,25.0,94,0.55,40,MY,1608043565,100.34,5.41
Chokurdakh,-35.01,86,0.93,96,RU,1608043566,147.92,70.63
Esperance,13.0,71,3.6,0,AU,1608043567,121.9,-33.87
Lorengau,28.07,75,1.65,98,PG,1608043568,147.27,-2.02
Qaanaaq,-19.54,69,2.9,0,GL,1608043569,-69.36,77.48
Torbay,3.89,100,12.3,90,CA,1608043571,-52.73,47.67
Longyearbyen,-8.0,61,9.8,75,SJ,1608043572,15.64,78.22
Airai,16.94,100,0.52,100,TL,1608043573,125.41,-8.93
Klaksvík,8.0,93,6.2,12,FO,1608043574,-6.59,62.23
Chivay,15.11,24,2.3,63,PE,1608043575,-71.6,-15.64
Kudahuvadhoo,28.31,64,0.71,58,MV,1608043576,72.89,2.67
Jamestown,-2.78,73,3.6,90,US,1608043577,-79.24,42.1
Moranbah,25.48,73,2.78,24,AU,1608043578,148.05,-22.0
Fairbanks,-11.0,66,1.0,90,US,1608043579,-147.72,64.84
Isverna,2.97,80,0.9,11,RO,1608043580,22.63,44.98
Makakilo City,23.0,78,1.5,1,US,1608043581,-158.09,21.35
Mahébourg,25.0,94,6.2,75,MU,1608043583,57.7,-20.41
Barcelos,13.0,82,6.2,40,PT,1608043322,-8.62,41.54
Castro,20.67,86,3.66,95,BR,1608043585,-50.01,-24.79
Mount Gambier,14.0,82,6.7,90,AU,1608043586,140.77,-37.83
Arraial do Cabo,31.0,69,5.7,0,BR,1608043587,-42.03,-22.97
New Norfolk,12.78,67,1.34,100,AU,1608043588,147.06,-42.78
Zhengjiatun,-21.72,85,3.21,0,CN,1608043589,123.51,43.51
Barrow,-19.0,70,7.2,1,US,1608043590,-156.79,71.29
Los Llanos de Aridane,21.0,60,5.1,40,ES,1608043591,-17.92,28.66
Kavieng,28.4,73,2.2,97,PG,1608043593,150.8,-2.57
Bredasdorp,22.0,46,6.7,25,ZA,1608043594,20.04,-34.53
Banepā,9.0,70,1.5,20,NP,1608043595,85.52,27.63
Tasiilaq,1.0,40,2.6,75,GL,1608043596,-37.64,65.61
Wattegama,26.0,94,2.1,40,LK,1608043597,81.48,6.8
Taltal,19.85,62,2.13,14,CL,1608043598,-70.48,-25.4
Saýat,-1.44,92,3.04,0,TM,1608043599,63.88,38.78
Vestmanna,8.0,93,6.2,14,FO,1608043600,-7.17,62.16
Narsaq,-1.0,68,1.0,75,GL,1608043601,-46.05,60.92
Muroto-misakicho,5.9,65,8.2,32,JP,1608043602,134.15,33.28
Provideniya,-9.95,92,6.11,98,RU,1608043603,-173.3,64.38
Bilibino,-21.76,87,2.27,28,RU,1608043605,166.44,68.05
Carnarvon,24.0,69,10.3,0,AU,1608043606,113.63,-24.87
Mataura,13.89,85,1.79,15,NZ,1608043607,168.86,-46.19
Lagoa,16.19,79,10.47,100,PT,1608043608,-27.98,39.05
Avera,6.0,70,4.1,40,US,1608043609,-82.53,33.19
Pevek,-11.82,94,4.89,11,RU,1608043610,170.31,69.7
Vaini,25.0,88,6.7,40,TO,1608043611,-175.2,-21.2
Vernon,0.0,87,0.75,100,CA,1608043612,-119.27,50.26
Serenje,22.62,86,0.31,100,ZM,1608043613,30.24,-13.23
Sedona,0.0,85,2.6,1,US,1608043604,-111.76,34.87
San Juan,26.29,17,6.77,0,AR,1608043615,-68.54,-31.54
Nanortalik,-1.81,88,2.18,10,GL,1608043617,-45.24,60.14
Raudeberg,6.67,86,5.71,99,NO,1608043618,5.14,61.99
Chui,27.06,35,2.07,0,UY,1608043619,-53.46,-33.7
Coyhaique,10.0,53,3.1,75,CL,1608043620,-72.07,-45.58
Toamasina,28.0,69,5.1,20,MG,1608043621,49.38,-18.17
San Francisco,9.44,81,1.19,75,US,1608043413,-122.42,37.77
Grindavik,5.0,66,9.8,75,IS,1608043623,-22.43,63.84
Praia,27.0,47,7.7,40,CV,1608043624,-23.51,14.92
Arman',-18.16,84,10.21,68,RU,1608043625,150.17,59.7
Pueblo,-2.0,63,5.1,90,US,1608043627,-104.61,38.25
Rome,-3.89,57,4.6,75,US,1608043489,-75.46,43.21
